t,FR_rpm,FR_amp,FL_rpm,FL_amp,RR_rpm,RR_amp,RL_rpm,RL_amp
0.0000,0,0.03924560546875,0,0.27001953125,0,0.024444580078125,0,-0.0908203125
0.0089,0,4.11328125,0,0.27001953125,0,2.26953125,0,-0.0908203125
0.0162,0,4.11328125,0,4.7421875,0,2.26953125,0,2.892578125
0.0278,0,4.11328125,0,4.7421875,3,2.73828125,0,2.892578125
0.0374,-1,2.294921875,4,3.798828125,3,2.73828125,6,5.1328125
0.0483,-1,2.294921875,4,3.798828125,-2,3.505859375,6,5.1328125
0.0611,-5,3.0078125,-7,2.095703125,-2,3.505859375,-6,2.283203125
0.0697,-1,3.09375,-7,2.095703125,27,8.046875,-6,2.283203125
0.0812,-1,3.09375,17,6.88671875,27,8.046875,-6,2.283203125
0.0895,17,8.6171875,17,6.88671875,-25,0.900390625,3,5.328125
0.1016,17,8.6171875,-1,2.830078125,-25,0.900390625,3,5.328125
0.1100,17,8.6171875,-1,2.830078125,13,9.265625,-18,1.4296875
0.1220,10,8.265625,21,8.6328125,13,9.265625,-18,1.4296875
0.1301,10,8.265625,21,8.6328125,16,8.6640625,-12,1.435546875
0.1430,-9,3.189453125,-10,4.6875,16,8.6640625,-12,1.435546875
0.1492,-76,-4.71484375,-10,4.6875,6,6.75390625,16,8.5078125
0.1587,-76,-4.71484375,-151,9.390625,6,6.75390625,16,8.5078125
0.1713,-76,-4.71484375,-151,9.390625,6,6.75390625,-16,2.662109375
0.1822,-185,11.8671875,-174,7.796875,-26,2.833984375,-16,2.662109375
0.1906,-185,11.8671875,-174,7.796875,-26,2.833984375,-26,2.55859375
0.1993,-172,6.4765625,-19,6.09765625,3,11.4609375,-26,2.55859375
0.2125,-34,2.1484375,-19,6.09765625,13,9.25,-139,-12.6171875
0.2185,-34,2.1484375,-72,-1.3701171875,13,9.25,-139,-12.6171875
0.2306,-34,2.1484375,-72,-1.3701171875,13,9.25,-244,13.8046875
0.2382,-63,-0.1580810546875,-83,-0.8056640625,-93,-5.078125,-244,13.8046875
0.2503,-63,-0.1580810546875,-83,-0.8056640625,-93,-5.078125,-1,7.58984375
0.2597,-71,-0.267822265625,-83,-0.8056640625,-96,4.3359375,-1,7.58984375
0.2722,-71,-0.267822265625,-71,0.6904296875,-96,4.3359375,-59,-0.285888671875
0.2809,-73,-0.06060791015625,-71,0.6904296875,-26,7.1328125,-59,-0.285888671875
0.2955,-73,-0.06060791015625,-63,-0.74267578125,-26,7.1328125,-77,3.970703125
0.3027,-19,2.29296875,-17,0.265625,-12,5.453125,-77,3.970703125
0.3121,-19,2.29296875,-17,0.265625,-12,5.453125,-66,4.6015625
0.3217,-40,-0.71044921875,-24,-0.90576171875,5,-3.279296875,-66,4.6015625
0.3305,-40,-0.71044921875,-24,-0.90576171875,5,-3.279296875,5,-0.36669921875
0.3395,-21,-0.1292724609375,0,0.2374267578125,-3,-2.677734375,5,-0.36669921875
0.3523,-21,-0.1292724609375,0,0.2374267578125,-3,-2.677734375,0,0.052490234375
0.3628,0,-0.1458740234375,3,-0.30322265625,-10,-1.8486328125,0,0.052490234375
0.3688,0,-0.1458740234375,3,-0.30322265625,-10,-1.8486328125,-2,-0.258056640625
0.3791,0,0.044708251953125,3,-0.30322265625,9,-1.0048828125,-2,-0.258056640625
0.3885,0,0.044708251953125,6,-0.45849609375,9,-1.0048828125,0,0.02313232421875
0.4007,0,0.08184814453125,6,-0.45849609375,-1,-0.61767578125,0,0.02313232421875
0.4090,0,0.08184814453125,-1,0.1646728515625,-1,-0.61767578125,0,0.02313232421875
0.4205,0,0.08953857421875,-1,0.1646728515625,4,-0.46533203125,0,-0.0994873046875
0.4286,0,0.08953857421875,0,0.360107421875,4,-0.46533203125,0,-0.0994873046875
0.4412,0,0.073486328125,0,0.360107421875,-9,-0.257080078125,0,0.029296875
0.4481,0,0.073486328125,0,0.26220703125,-9,-0.257080078125,0,0.029296875
0.4559,0,-0.09893798828125,0,0.26220703125,0,-0.11639404296875,0,0.03466796875
0.4682,0,-0.09893798828125,3,0.1595458984375,0,-0.11639404296875,0,0.03466796875
