t,FR_rpm,FR_amp,FL_rpm,FL_amp,RR_rpm,RR_amp,RL_rpm,RL_amp
0.0000,0,-0.083984375,0,0.34619140625,0,-0.0215606689453125,0,0.17333984375
0.0066,0,-0.083984375,0,0.051544189453125,0,-0.0215606689453125,0,0.0286102294921875
0.0174,0,-0.1871337890625,0,0.051544189453125,0,0.05316162109375,0,0.0286102294921875
0.0261,0,-0.1871337890625,0,0.051544189453125,0,0.05316162109375,0,0.1368408203125
0.0388,0,0.083251953125,0,-0.15771484375,0,-0.025848388671875,0,0.1368408203125
0.0483,0,0.083251953125,0,-0.15771484375,0,-0.025848388671875,0,0.1767578125
0.0598,0,0.114013671875,0,0.08056640625,0,-0.048248291015625,0,0.1767578125
0.0662,0,0.114013671875,0,0.08056640625,0,-0.048248291015625,0,0.076171875
0.0785,0,-0.2420654296875,0,-0.12310791015625,0,0.135498046875,0,0.076171875
0.0880,0,-0.2420654296875,0,-0.12310791015625,0,0.135498046875,0,0.133056640625
0.0995,0,-0.2286376953125,0,0.267578125,0,0.0213623046875,0,0.133056640625
0.1070,0,-0.2286376953125,0,0.267578125,0,0.0213623046875,0,-0.2183837890625
0.1187,0,0.030548095703125,0,0.67333984375,0,0.0213623046875,0,-0.2183837890625
0.1263,0,0.030548095703125,0,0.67333984375,0,-0.040618896484375,0,-0.207275390625
0.1368,0,0.10546875,0,0.356201171875,0,-0.040618896484375,0,-0.207275390625
0.1461,0,0.10546875,0,0.356201171875,0,-0.06622314453125,0,-0.207275390625
0.1570,0,0.0972900390625,0,0.19384765625,0,-0.06622314453125,0,0.1307373046875
0.1660,0,0.0972900390625,0,0.19384765625,0,0.042816162109375,0,-0.180908203125
0.1798,0,0.232421875,0,0.17529296875,0,0.042816162109375,0,-0.180908203125
0.1878,0,0.232421875,0,0.17529296875,0,0.03497314453125,0,-0.237548828125
0.1988,0,0.10882568359375,0,-0.3681640625,0,0.03497314453125,0,-0.237548828125
0.2066,0,0.10882568359375,0,-0.3681640625,0,0.0657958984375,0,-0.237548828125
0.2188,0,-0.2919921875,0,-0.411376953125,0,0.0657958984375,0,-0.12030029296875
0.2279,0,-0.2919921875,0,-0.411376953125,0,0.078125,0,-0.12030029296875
0.2383,0,-0.322509765625,0,0.0704345703125,0,0.078125,0,0.03936767578125
0.2460,0,-0.322509765625,0,0.0704345703125,0,-0.052032470703125,0,0.03936767578125
0.2571,0,-0.28515625,0,0.262939453125,0,-0.052032470703125,0,0.195068359375
0.2663,0,-0.28515625,0,0.262939453125,0,-0.1373291015625,0,0.195068359375
0.2767,0,-0.1282958984375,0,0.295166015625,0,-0.1373291015625,0,-0.0423583984375
0.2858,0,-0.1282958984375,0,0.295166015625,0,0.042938232421875,0,-0.0423583984375
0.2967,0,-0.1282958984375,0,0.95703125,0,0.042938232421875,0,-0.24169921875
0.3059,0,0.1275634765625,0,0.95703125,0,-0.0252227783203125,0,-0.24169921875
0.3188,0,0.1275634765625,0,0.5048828125,0,-0.0252227783203125,0,-0.187744140625
0.3266,0,0.05084228515625,0,0.5048828125,0,-0.0266876220703125,0,-0.187744140625
0.3387,0,0.05084228515625,0,-0.398681640625,0,-0.0266876220703125,0,0.11834716796875
0.3483,0,0.02508544921875,0,-0.398681640625,0,-0.0219879150390625,0,0.11834716796875
0.3571,0,0.02508544921875,0,0.073486328125,0,-0.0219879150390625,0,0.1416015625
0.3661,0,-0.266357421875,0,0.073486328125,0,0.16162109375,0,0.1416015625
0.3764,0,-0.266357421875,0,0.0418701171875,0,0.16162109375,0,0.15087890625
0.3857,0,0.212646484375,0,0.0418701171875,0,0.01300048828125,0,0.15087890625
0.3972,0,0.212646484375,0,0.12249755859375,0,0.01300048828125,0,-0.0003371238708496094
