t,gyro_z,RF_rpm,RF_cur,FL_rpm,FL_cur,RR_rpm,RR_cur,RL_rpm,RL_cur
0.0061,0.0016,0,-0.1002197265625,0,0.4619140625,0,0.1357421875,0,0.12042236328125
0.0093,-1e-04,0,-0.1002197265625,0,0.4619140625,0,0.1357421875,0,0.12042236328125
0.0129,-1e-04,0,-0.1002197265625,0,0.4619140625,0,0.1357421875,0,0.12042236328125
0.0165,-1e-04,0,-0.1002197265625,0,0.4619140625,0,0.122802734375,0,0.12042236328125
0.0233,0.0007,0,-0.1002197265625,0,0.4619140625,0,0.122802734375,0,0.12042236328125
0.0248,0.0007,0,-0.0574951171875,0,0.4619140625,0,0.122802734375,0,0.12042236328125
0.0298,0.0014,0,-0.0574951171875,0,0.4619140625,0,0.122802734375,0,0.12042236328125
0.0336,0.0014,0,-0.0574951171875,0,0.4619140625,0,0.122802734375,0,0.12042236328125
0.0371,0.0014,0,-0.0574951171875,0,0.374267578125,0,0.07110595703125,0,-0.011322021484375
0.0407,1e-04,0,-0.0574951171875,0,0.374267578125,0,0.07110595703125,0,-0.011322021484375
0.0456,1e-04,0,0.106201171875,0,0.374267578125,0,0.07110595703125,0,-0.011322021484375
0.0495,0.0011,0,0.106201171875,0,0.374267578125,0,0.07110595703125,0,-0.011322021484375
0.0535,0.0011,0,0.106201171875,0,0.374267578125,0,0.07110595703125,0,-0.011322021484375
0.0566,0.0011,0,0.106201171875,0,0.3564453125,0,0.1746826171875,0,0.135009765625
0.0605,0.0017,0,0.106201171875,0,0.3564453125,0,0.1746826171875,0,0.135009765625
0.0654,0.0017,0,0.10760498046875,0,0.3564453125,0,0.1746826171875,0,0.135009765625
0.0692,0.0063,0,0.10760498046875,0,0.3564453125,0,0.1746826171875,0,0.135009765625
0.0723,0.0063,0,0.10760498046875,0,0.3564453125,0,0.1746826171875,0,0.135009765625
0.0762,0.0063,0,0.10760498046875,0,3.193359375,3,4.7890625,0,3.978515625
0.0802,-0.0066,0,0.10760498046875,0,3.193359375,3,4.7890625,0,3.978515625
0.0852,-0.0066,2,5.3984375,0,3.193359375,3,4.7890625,0,3.978515625
0.0876,-0.0066,2,5.3984375,0,3.193359375,3,4.7890625,0,3.978515625
0.0901,0.0052,2,5.3984375,0,3.193359375,3,4.7890625,0,3.978515625
0.0938,0.0052,2,5.3984375,0,3.193359375,3,4.7890625,0,3.978515625
0.0978,0.0052,2,5.3984375,12,6.89453125,16,3.146484375,11,7.53515625
0.1019,0.0415,2,5.3984375,12,6.89453125,16,3.146484375,11,7.53515625
0.1062,0.0415,15,3.171875,12,6.89453125,16,3.146484375,11,7.53515625
0.11,0.0652,15,3.171875,12,6.89453125,16,3.146484375,11,7.53515625
0.1137,0.0652,15,3.171875,12,6.89453125,16,3.146484375,11,7.53515625
0.1188,0.0652,15,3.171875,15,11.6171875,2,4.25,13,12.2265625
0.1223,0.0525,15,3.171875,15,11.6171875,2,4.25,13,12.2265625
0.127,0.0525,13,3.849609375,15,11.6171875,2,4.25,13,12.2265625
0.1303,0.0344,13,3.849609375,15,11.6171875,2,4.25,13,12.2265625
0.1333,0.0344,13,3.849609375,15,11.6171875,2,4.25,13,12.2265625
0.1371,0.0344,13,3.849609375,9,15.5234375,2,4.25,18,15.6171875
0.1409,0.0399,13,3.849609375,9,15.5234375,2,4.25,18,15.6171875
0.1457,0.0399,16,1.21484375,9,15.5234375,0,2.4296875,18,15.6171875
0.1498,0.0453,16,1.21484375,9,15.5234375,0,2.4296875,18,15.6171875
0.1546,0.0453,16,1.21484375,9,15.5234375,0,2.4296875,18,15.6171875
0.1566,0.0453,16,1.21484375,30,18.03125,0,2.4296875,30,18.765625
0.1629,0.1033,16,1.21484375,30,18.03125,0,2.4296875,30,18.765625
0.1669,0.1033,16,1.21484375,30,18.03125,0,2.4296875,30,18.765625
0.1722,0.1033,25,0.66455078125,88,15.640625,15,-0.78271484375,45,18.71875
