t,gyro_z,RF_rpm,RF_cur,FL_rpm,FL_cur,RR_rpm,RR_cur,RL_rpm,RL_cur
0.0057,-1e-04,0,-0.11376953125,0,0.426025390625,0,0.08245849609375,0,-0.06890869140625
0.0094,-1e-04,0,-0.11376953125,0,0.426025390625,0,0.08245849609375,0,-0.06890869140625
0.0135,0.0002,0,-0.11376953125,0,0.426025390625,0,0.08245849609375,0,-0.06890869140625
0.018,0.0002,0,-0.164306640625,0,0.426025390625,0,0.07855224609375,0,0.209228515625
0.021,0.0003,0,-0.164306640625,0,0.426025390625,0,0.07855224609375,0,0.209228515625
0.025,0.0003,0,-0.164306640625,0,0.0689697265625,0,0.07855224609375,0,0.209228515625
0.029,0.0003,0,-0.164306640625,0,0.0689697265625,0,0.07855224609375,0,0.209228515625
0.0318,0.0008,0,-0.164306640625,0,0.0689697265625,0,0.07855224609375,0,0.209228515625
0.036,0.0008,0,-0.164306640625,0,0.0689697265625,0,0.08489990234375,0,0.209228515625
0.0393,0.0017,0,-0.164306640625,0,0.0689697265625,0,0.08489990234375,0,0.209228515625
0.0446,0.0017,0,0.049560546875,0,0.346923828125,0,0.08489990234375,0,0.025604248046875
0.0491,0.0017,0,0.049560546875,0,0.346923828125,0,0.08489990234375,0,0.025604248046875
0.0509,0.0011,0,0.049560546875,0,0.346923828125,0,0.08489990234375,0,0.025604248046875
0.0566,0.0011,0,0.049560546875,0,0.346923828125,0,0.08197021484375,0,0.025604248046875
0.0606,0.0013,0,0.049560546875,0,0.346923828125,0,0.08197021484375,0,0.025604248046875
0.0638,0.0013,0,-0.1378173828125,1,4.25390625,0,0.08197021484375,0,0.24169921875
0.069,0.0013,0,-0.1378173828125,1,4.25390625,0,0.08197021484375,0,0.24169921875
0.0729,0.0013,0,-0.1378173828125,1,4.25390625,0,6.203125,0,0.24169921875
0.0797,0.0013,0,-0.1378173828125,1,4.25390625,0,6.203125,0,0.24169921875
0.08,0.0236,0,-0.1378173828125,1,4.25390625,0,6.203125,0,0.24169921875
0.0809,-0.0094,0,-0.1378173828125,1,4.25390625,0,6.203125,0,0.24169921875
0.0871,-0.0094,5,6.0546875,15,3.294921875,0,6.203125,12,5.57421875
0.0905,-0.0094,5,6.0546875,15,3.294921875,0,6.203125,12,5.57421875
0.0911,-0.028,5,6.0546875,15,3.294921875,0,6.203125,12,5.57421875
0.0971,-0.028,5,6.0546875,15,3.294921875,0,10.171875,12,5.57421875
0.1013,-0.0376,5,6.0546875,15,3.294921875,0,10.171875,12,5.57421875
0.1052,-0.0376,17,8.9453125,15,3.294921875,0,10.171875,15,3.650390625
0.1101,-0.0376,17,8.9453125,15,3.294921875,0,10.171875,15,3.650390625
0.1132,-0.0345,17,8.9453125,15,3.294921875,0,10.171875,15,3.650390625
0.1164,-0.0345,18,13.3671875,10,3.54296875,9,13.2578125,15,3.650390625
0.1187,-0.036,18,13.3671875,10,3.54296875,9,13.2578125,15,3.650390625
0.1246,-0.036,18,13.3671875,10,3.54296875,9,13.2578125,0,4.8125
0.1284,-0.036,18,13.3671875,10,3.54296875,9,13.2578125,0,4.8125
0.1364,-0.036,18,13.3671875,3,2.83984375,18,17.375,0,4.8125
0.1376,-0.0431,18,13.3671875,3,2.83984375,18,17.375,0,4.8125
0.1414,-0.0433,18,13.3671875,3,2.83984375,18,17.375,0,4.8125
0.148,-0.0433,34,16.0,3,2.83984375,18,17.375,8,0.8701171875
0.1511,-0.0433,34,16.0,3,2.83984375,18,17.375,8,0.8701171875
0.1526,-0.0618,34,16.0,3,2.83984375,18,17.375,8,0.8701171875
0.1608,-0.0618,34,16.0,16,0.74609375,27,20.53125,8,0.8701171875
0.1617,-0.0776,34,16.0,16,0.74609375,27,20.53125,8,0.8701171875
0.1663,-0.0776,67,17.34375,16,0.74609375,27,20.53125,15,1.263671875
0.171,-0.0776,67,17.34375,16,0.74609375,27,20.53125,15,1.263671875
0.1721,-0.0854,67,17.34375,16,0.74609375,27,20.53125,15,1.263671875
0.1771,-0.0854,67,17.34375,13,-0.77294921875,42,18.28125,15,1.263671875
0.1802,-0.0741,67,17.34375,13,-0.77294921875,42,18.28125,15,1.263671875
0.1875,-0.0741,129,9.8359375,13,-0.77294921875,42,18.28125,20,-1.8251953125
0.191,-0.0741,129,9.8359375,13,-0.77294921875,42,18.28125,20,-1.8251953125
0.1956,-0.074,129,9.8359375,13,-0.77294921875,42,18.28125,20,-1.8251953125
0.1961,-0.074,129,9.8359375,20,-1.248046875,54,15.46875,20,-1.8251953125
0.2035,-0.0766,129,9.8359375,20,-1.248046875,54,15.46875,20,-1.8251953125
0.2067,-0.0766,172,5.85546875,32,7.953125,54,15.46875,31,4.5625
0.2088,-0.0766,172,5.85546875,32,7.953125,54,15.46875,31,4.5625
0.2104,-0.0782,172,5.85546875,32,7.953125,54,15.46875,31,4.5625
0.2166,-0.0782,172,5.85546875,32,7.953125,57,13.359375,31,4.5625
0.2209,-0.1056,172,5.85546875,32,7.953125,57,13.359375,31,4.5625
0.2264,-0.1056,122,7.67578125,35,8.6328125,57,13.359375,40,8.640625
0.2294,-0.1056,122,7.67578125,35,8.6328125,57,13.359375,40,8.640625
0.23,-0.1624,122,7.67578125,35,8.6328125,57,13.359375,40,8.640625
0.2364,-0.1624,122,7.67578125,35,8.6328125,68,11.1171875,40,8.640625
0.24,-0.1213,122,7.67578125,35,8.6328125,68,11.1171875,40,8.640625
0.2445,-0.1213,97,7.21484375,35,8.6328125,68,11.1171875,48,10.765625
0.2493,-0.1213,97,7.21484375,35,8.6328125,68,11.1171875,48,10.765625
0.251,-0.102,97,7.21484375,35,8.6328125,68,11.1171875,48,10.765625
0.2566,-0.102,97,7.21484375,45,10.3515625,69,8.9765625,48,10.765625
0.2602,-0.0652,97,7.21484375,45,10.3515625,69,8.9765625,48,10.765625
0.2641,-0.0652,89,7.44140625,45,10.3515625,69,8.9765625,53,12.7421875
0.2696,-0.0652,89,7.44140625,45,10.3515625,69,8.9765625,53,12.7421875
0.2709,-0.0619,89,7.44140625,45,10.3515625,69,8.9765625,53,12.7421875
0.2751,-0.0619,89,7.44140625,54,12.7421875,72,10.1640625,52,9.859375
0.28,-0.0474,89,7.44140625,54,12.7421875,72,10.1640625,52,9.859375
0.2881,-0.0474,91,10.3203125,52,10.9140625,72,10.1640625,52,9.859375
0.2893,-0.0474,91,10.3203125,52,10.9140625,72,10.1640625,52,9.859375
0.291,-0.0519,91,10.3203125,52,10.9140625,72,10.1640625,52,9.859375
0.2955,-0.0519,91,10.3203125,52,10.9140625,72,12.546875,52,9.859375
0.3008,-0.0655,91,10.3203125,52,10.9140625,72,12.546875,52,9.859375
0.3043,-0.0655,89,11.0625,53,8.9921875,72,12.546875,52,8.390625
0.3069,-0.0707,89,11.0625,53,8.9921875,72,12.546875,52,8.390625
0.3114,-0.0707,89,11.0625,53,8.9921875,72,12.546875,52,8.390625
0.3177,-0.0707,89,11.0625,53,8.9921875,71,12.234375,52,8.390625
0.321,-0.0686,89,11.0625,53,8.9921875,71,12.234375,52,8.390625
0.3237,-0.0686,82,11.125,55,10.640625,71,12.234375,53,9.09375
0.3284,-0.0686,82,11.125,55,10.640625,71,12.234375,53,9.09375
0.3291,-0.0677,82,11.125,55,10.640625,71,12.234375,53,9.09375
0.3372,-0.0677,82,11.125,55,10.640625,71,11.6015625,53,9.09375
0.3387,-0.0812,82,11.125,55,10.640625,71,11.6015625,53,9.09375
0.3432,-0.0812,76,11.1484375,55,10.640625,71,11.6015625,52,10.140625
0.3487,-0.0852,76,11.1484375,55,10.640625,71,11.6015625,52,10.140625
0.3493,-0.0852,76,11.1484375,55,10.640625,71,11.6015625,52,10.140625
0.3555,-0.0852,76,11.1484375,50,9.796875,71,11.6015625,52,10.140625
0.3596,-0.0724,76,11.1484375,50,9.796875,71,11.6015625,52,10.140625
0.3652,-0.0724,76,11.1484375,50,9.796875,71,11.6015625,52,10.140625
0.3713,-0.0724,75,11.6640625,50,9.796875,71,12.1328125,51,9.3125
0.3722,-0.0544,75,11.6640625,50,9.796875,71,12.1328125,51,9.3125
0.375,-0.0544,75,11.6640625,48,9.5703125,71,12.1328125,51,9.3125
0.3793,-0.06,75,11.6640625,48,9.5703125,71,12.1328125,51,9.3125
0.3851,-0.06,70,12.7421875,48,9.5703125,70,13.3359375,67,12.0234375
0.3903,-0.06,70,12.7421875,48,9.5703125,70,13.3359375,67,12.0234375
0.3918,-0.0737,70,12.7421875,48,9.5703125,70,13.3359375,67,12.0234375
0.3943,-0.0737,70,12.7421875,64,11.8125,72,11.4453125,67,12.0234375
0.3986,-0.1191,70,12.7421875,64,11.8125,72,11.4453125,67,12.0234375
0.4019,-0.1191,82,11.25,64,11.8125,72,11.4453125,61,10.2421875
0.4075,-0.1191,82,11.25,64,11.8125,72,11.4453125,61,10.2421875
0.409,-0.1056,82,11.25,64,11.8125,72,11.4453125,61,10.2421875
0.4144,-0.1056,82,11.25,56,9.6640625,69,12.5703125,61,10.2421875
0.4173,-0.0587,82,11.25,56,9.6640625,69,12.5703125,61,10.2421875
0.4245,-0.0587,79,11.390625,56,9.6640625,69,12.5703125,61,10.2421875
0.4278,-0.0757,79,11.390625,56,9.6640625,69,12.5703125,61,10.2421875
