t,gyro_z,RF_rpm,RF_cur,FL_rpm,FL_cur,RR_rpm,RR_cur,RL_rpm,RL_cur
0.0037,-0.0027,0,-0.1522216796875,0,0.347900390625,0,0.09869384765625,0,0.204345703125
0.0068,-0.0005,0,-0.1522216796875,0,0.347900390625,0,0.09869384765625,0,0.204345703125
0.011,0.0012,0,-0.1522216796875,0,0.347900390625,0,0.09869384765625,0,0.204345703125
0.016,0.0012,0,-0.033905029296875,0,0.347900390625,0,0.09869384765625,0,0.1627197265625
0.0187,0.0011,0,-0.033905029296875,0,0.347900390625,0,0.09869384765625,0,0.1627197265625
0.0282,0.0011,0,-0.033905029296875,0,0.53173828125,0,0.1539306640625,0,0.1627197265625
0.0327,-0.0034,0,-0.033905029296875,0,0.53173828125,0,0.1539306640625,0,0.1627197265625
0.0398,-0.0034,0,-0.033905029296875,0,0.53173828125,0,0.1539306640625,0,-0.0843505859375
0.0456,-0.0034,0,-0.103515625,0,0.53076171875,0,0.0638427734375,0,-0.0843505859375
0.0474,0.0026,0,-0.103515625,0,0.53076171875,0,0.0638427734375,0,-0.0843505859375
0.0514,-0.0027,0,-0.103515625,0,0.53076171875,0,0.0638427734375,0,-0.0843505859375
0.0604,-0.0027,0,-0.103515625,0,0.53076171875,0,0.0638427734375,0,0.1282958984375
0.068,-0.0027,0,2.873046875,0,4.96484375,-7,4.86328125,0,0.1282958984375
0.0707,-0.0133,0,2.873046875,0,4.96484375,-7,4.86328125,0,0.1282958984375
0.0726,-0.0133,0,2.873046875,0,4.96484375,-7,4.86328125,0,0.1282958984375
0.0753,-0.0133,0,2.873046875,0,4.96484375,-7,4.86328125,10,4.48046875
0.0783,0.0428,0,2.873046875,0,4.96484375,-7,4.86328125,10,4.48046875
0.0833,0.1296,0,2.873046875,0,4.96484375,-7,4.86328125,10,4.48046875
0.0879,0.1296,-29,4.49609375,1,9.203125,-23,7.23828125,10,4.48046875
0.0947,0.093,-29,4.49609375,1,9.203125,-23,7.23828125,10,4.48046875
0.105,0.0601,-29,4.49609375,1,9.203125,-23,7.23828125,10,4.48046875
0.1057,0.0601,-29,4.49609375,1,9.203125,-23,7.23828125,28,7.66015625
0.1094,0.0601,-2,13.421875,14,12.40625,-9,12.0234375,28,7.66015625
0.1114,0.0603,-2,13.421875,14,12.40625,-9,12.0234375,28,7.66015625
0.1204,0.0603,-2,13.421875,14,12.40625,-9,12.0234375,0,15.3359375
0.1259,0.0603,6,16.71875,14,12.40625,0,17.171875,0,15.3359375
0.1302,0.1332,6,16.71875,14,12.40625,0,17.171875,0,15.3359375
0.132,0.1754,6,16.71875,14,12.40625,0,17.171875,0,15.3359375
0.14,0.1754,6,16.71875,12,17.28125,0,17.171875,0,18.40625
0.147,0.1754,-11,18.984375,12,17.28125,7,19.875,0,18.40625
0.1479,0.2354,-11,18.984375,12,17.28125,7,19.875,0,18.40625
0.1512,0.2803,-11,18.984375,12,17.28125,7,19.875,0,18.40625
0.1634,0.2803,-11,18.984375,23,16.390625,7,19.875,0,18.734375
0.1639,0.2803,-11,18.984375,23,16.390625,7,19.875,0,18.734375
0.1707,0.3212,-11,18.984375,23,16.390625,7,19.875,0,18.734375
0.171,0.3212,-24,15.5,23,16.390625,-7,15.828125,0,18.734375
0.1742,0.3136,-24,15.5,23,16.390625,-7,15.828125,0,18.734375
0.18,0.3136,-24,15.5,37,14.3515625,-7,15.828125,11,15.6953125
0.1843,0.3176,-24,15.5,37,14.3515625,-7,15.828125,11,15.6953125
0.1879,0.3176,-38,14.296875,37,14.3515625,-7,15.828125,11,15.6953125
0.1937,0.3176,-38,14.296875,61,12.4921875,-15,16.546875,16,16.21875
0.197,0.3664,-38,14.296875,61,12.4921875,-15,16.546875,16,16.21875
0.2042,0.3664,-58,12.3125,61,12.4921875,0,17.4375,16,16.21875
0.2062,0.4002,-58,12.3125,61,12.4921875,0,17.4375,16,16.21875
0.2125,0.412,-58,12.3125,61,12.4921875,0,17.4375,16,16.21875
0.2189,0.412,-58,12.3125,72,11.9453125,0,17.4375,1,17.125
0.2292,0.412,-58,13.21875,72,11.9453125,0,17.4375,1,17.125
0.2313,0.4489,-58,13.21875,72,11.9453125,0,17.4375,1,17.125
0.2346,0.4384,-58,13.21875,72,11.9453125,0,17.4375,1,17.125
0.2406,0.4384,-58,13.21875,103,8.2890625,-13,15.5703125,2,16.765625
0.2456,0.4314,-58,13.21875,103,8.2890625,-13,15.5703125,2,16.765625
0.2498,0.4314,-60,12.8515625,103,8.2890625,-13,15.5703125,2,16.765625
0.2553,0.4314,-60,12.8515625,94,10.8125,-15,16.515625,16,15.609375
0.2583,0.4996,-60,12.8515625,94,10.8125,-15,16.515625,16,15.609375
0.2667,0.4996,-64,12.984375,94,10.8125,-10,15.65625,16,15.609375
0.269,0.4604,-64,12.984375,94,10.8125,-10,15.65625,16,15.609375
0.2752,0.4604,-64,12.984375,98,9.46875,-10,15.65625,26,15.1875
0.2785,0.4698,-64,12.984375,98,9.46875,-10,15.65625,26,15.1875
0.2848,0.4916,-64,12.984375,98,9.46875,-10,15.65625,26,15.1875
0.2888,0.4916,-66,12.4296875,98,9.46875,-10,15.65625,26,15.1875
0.2964,0.4916,-66,12.4296875,104,9.28125,-15,16.375,34,14.484375
0.2978,0.5081,-66,12.4296875,104,9.28125,-15,16.375,34,14.484375
0.3075,0.5081,-75,11.515625,104,9.28125,-15,16.375,34,14.484375
0.3084,0.489,-75,11.515625,104,9.28125,-15,16.375,34,14.484375
0.3175,0.489,-75,11.515625,109,9.5,-20,15.453125,34,14.484375
0.32,0.4593,-75,11.515625,109,9.5,-20,15.453125,34,14.484375
0.3281,0.4593,-68,12.6171875,109,9.5,-20,15.453125,-6,18.859375
0.3305,0.518,-68,12.6171875,109,9.5,-20,15.453125,-6,18.859375
0.335,0.518,-68,12.6171875,110,9.015625,-26,15.7109375,13,15.0234375
0.3382,0.5702,-68,12.6171875,110,9.015625,-26,15.7109375,13,15.0234375
0.346,0.5702,-68,11.7890625,110,9.015625,-26,15.7109375,13,15.0234375
0.3504,0.5038,-68,11.7890625,110,9.015625,-26,15.7109375,13,15.0234375
0.3553,0.5038,-68,11.7890625,103,10.9140625,-28,14.84375,15,17.234375
0.3576,0.512,-68,11.7890625,103,10.9140625,-28,14.84375,15,17.234375
0.3673,0.512,-63,13.1953125,103,10.9140625,-28,14.84375,15,17.234375
0.3686,0.5215,-63,13.1953125,103,10.9140625,-28,14.84375,15,17.234375
0.3741,0.5215,-63,13.1953125,100,10.1953125,-32,15.3203125,15,17.234375
0.3774,0.4728,-63,13.1953125,100,10.1953125,-32,15.3203125,15,17.234375
0.3869,0.4728,-74,12.15625,100,10.1953125,-32,15.3203125,26,15.5390625
0.3896,0.4841,-74,12.15625,100,10.1953125,-32,15.3203125,26,15.5390625
0.3952,0.4841,-74,12.15625,105,10.0078125,-37,15.34375,26,15.5390625
0.3976,0.4604,-74,12.15625,105,10.0078125,-37,15.34375,26,15.5390625
0.4064,0.4604,-69,13.09375,105,10.0078125,-37,15.34375,33,15.4609375
0.4091,0.4844,-69,13.09375,105,10.0078125,-37,15.34375,33,15.4609375
0.4145,0.4844,-69,13.09375,108,9.484375,-42,15.2265625,33,15.4609375
0.4166,0.5013,-69,13.09375,108,9.484375,-42,15.2265625,33,15.4609375
0.4261,0.5013,-77,11.7734375,108,9.484375,-42,15.2265625,35,15.4140625
0.4286,0.5132,-77,11.7734375,108,9.484375,-42,15.2265625,35,15.4140625
0.4327,0.5132,-77,11.7734375,101,10.4453125,-42,14.9921875,35,15.4140625
0.4372,0.4943,-77,11.7734375,101,10.4453125,-42,14.9921875,35,15.4140625
0.4449,0.4943,-74,12.7109375,101,10.4453125,-42,14.9921875,-5,20.671875
0.4509,0.5142,-74,12.7109375,101,10.4453125,-42,14.9921875,-5,20.671875
0.4534,0.5142,-74,12.7109375,102,9.6796875,-52,14.2265625,-5,20.671875
0.4568,0.5514,-74,12.7109375,102,9.6796875,-52,14.2265625,-5,20.671875
0.4649,0.5514,-72,12.40625,102,9.6796875,-52,14.2265625,10,16.765625
0.4688,0.5417,-72,12.40625,102,9.6796875,-52,14.2265625,10,16.765625
0.4739,0.5417,-72,12.40625,104,10.21875,4,21.0625,10,16.765625
0.4764,0.4894,-72,12.40625,104,10.21875,4,21.0625,10,16.765625
0.4843,0.4894,-65,14.5,104,10.21875,4,21.0625,12,17.609375
0.4875,0.4727,-65,14.5,104,10.21875,4,21.0625,12,17.609375
0.4913,0.5199,-65,14.5,104,10.21875,4,21.0625,12,17.609375
0.5013,0.5199,-65,14.5,107,9.75,-10,17.25,12,17.609375
0.5042,0.5199,-81,11.3515625,107,9.75,-10,17.25,20,16.890625
0.507,0.5272,-81,11.3515625,107,9.75,-10,17.25,20,16.890625
0.5116,0.544,-81,11.3515625,107,9.75,-10,17.25,20,16.890625
0.5194,0.544,-81,11.3515625,107,9.75,-9,17.59375,20,16.890625
0.5231,0.5142,-81,11.3515625,107,9.75,-9,17.59375,20,16.890625
0.5276,0.5142,-76,12.6640625,110,10.2109375,-9,17.59375,32,16.03125
0.5357,0.5142,-76,12.6640625,110,10.2109375,-5,18.03125,32,16.03125
0.5403,0.4753,-76,12.6640625,110,10.2109375,-5,18.03125,32,16.03125
0.547,0.4753,-76,12.6640625,110,10.125,-5,18.03125,41,15.9140625
0.5489,0.5122,-76,12.6640625,110,10.125,-5,18.03125,41,15.9140625
0.5537,0.5122,-74,13.71875,110,10.125,-18,17.109375,41,15.9140625
0.5564,0.4641,-74,13.71875,110,10.125,-18,17.109375,41,15.9140625
0.5645,0.4641,-76,13.5546875,105,10.8046875,-18,17.109375,-7,21.296875
0.5674,0.4611,-76,13.5546875,105,10.8046875,-18,17.109375,-7,21.296875
0.5726,0.5411,-76,13.5546875,105,10.8046875,-18,17.109375,-7,21.296875
0.5788,0.5411,-76,13.5546875,105,10.8046875,-17,18.203125,-7,21.296875
0.5836,0.5411,-76,13.5546875,105,10.8046875,-17,18.203125,-7,21.296875
0.586,0.5411,-76,13.5546875,105,11.0,-17,18.203125,13,17.65625
0.5895,0.525,-76,13.5546875,105,11.0,-17,18.203125,13,17.65625
0.5926,0.5399,-76,13.5546875,105,11.0,-17,18.203125,13,17.65625
0.5999,0.5399,-73,12.671875,105,11.0,-27,17.109375,13,17.65625
0.6074,0.5399,-73,12.671875,109,10.109375,-27,17.109375,38,15.4609375
0.6089,0.5566,-73,12.671875,109,10.109375,-27,17.109375,38,15.4609375
0.6152,0.5566,-85,12.4140625,109,10.109375,-27,16.921875,38,15.4609375
0.6197,0.5246,-85,12.4140625,109,10.109375,-27,16.921875,38,15.4609375
0.6257,0.5246,-85,12.4140625,118,9.078125,-27,16.921875,42,16.4375
0.63,0.592,-85,12.4140625,118,9.078125,-27,16.921875,42,16.4375
0.6368,0.592,-87,11.8828125,118,9.078125,-34,15.7890625,42,16.4375
0.6379,0.5749,-87,11.8828125,118,9.078125,-34,15.7890625,42,16.4375
0.6453,0.5749,-87,11.8828125,121,9.015625,-34,15.7890625,29,17.78125
0.6503,0.5333,-87,11.8828125,121,9.015625,-34,15.7890625,29,17.78125
