t,gyro_z,RF_rpm,RF_cur,FL_rpm,FL_cur,RR_rpm,RR_cur,RL_rpm,RL_cur
0.0015,-0.0002,0,-0.0665283203125,0,0.197021484375,0,0.11859130859375,0,-0.10107421875
0.0069,-0.0002,0,-0.0665283203125,0,0.197021484375,0,0.11859130859375,0,-0.10107421875
0.0114,-0.0002,0,-0.1260986328125,0,0.197021484375,0,0.076416015625,0,-0.309326171875
0.0153,-0.0,0,-0.1260986328125,0,0.197021484375,0,0.076416015625,0,-0.309326171875
0.0201,-0.0,0,-0.1260986328125,0,-0.11859130859375,0,0.076416015625,0,-0.309326171875
0.0227,1e-04,0,-0.1260986328125,0,-0.11859130859375,0,0.076416015625,0,-0.309326171875
0.0327,1e-04,0,-0.07977294921875,0,-0.11859130859375,0,0.1136474609375,0,0.2386474609375
0.0332,1e-04,0,-0.07977294921875,0,-0.11859130859375,0,0.1136474609375,0,0.2386474609375
0.0349,1e-04,0,-0.07977294921875,0,-0.11859130859375,0,0.1136474609375,0,0.2386474609375
0.0403,1e-04,0,-0.07977294921875,0,-1.162109375,0,0.1136474609375,0,0.2386474609375
0.0432,0.0013,0,-0.07977294921875,0,-1.162109375,0,0.1136474609375,0,0.2386474609375
0.049,0.0013,0,-0.07977294921875,0,-1.162109375,0,0.1136474609375,0,0.2386474609375
0.0518,0.0013,0,0.07598876953125,0,-1.162109375,0,0.09423828125,0,2.98828125
0.0551,0.0024,0,0.07598876953125,0,-1.162109375,0,0.09423828125,0,2.98828125
0.061,0.0024,0,0.07598876953125,0,6.15234375,0,0.09423828125,0,2.98828125
0.0643,0.0125,0,0.07598876953125,0,6.15234375,0,0.09423828125,0,2.98828125
0.0683,0.0125,0,0.07598876953125,0,6.15234375,0,0.09423828125,0,2.98828125
0.0707,0.0125,-10,6.15234375,0,6.15234375,-8,5.83984375,0,2.98828125
0.0736,0.0125,-10,6.15234375,0,6.15234375,-8,5.83984375,0,2.98828125
0.077,0.0886,-10,6.15234375,0,6.15234375,-8,5.83984375,0,2.98828125
