t,steer,gyro_flu,vx,arm,RF_rpm,RF_cur,FL_rpm,FL_cur,RR_rpm,RR_cur,RL_rpm,RL_cur
0.023,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.041,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.06,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.08,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.1,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.121,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.14,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.16,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.18,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.201,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.22,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.24,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.26,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.28,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.3,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.32,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.34,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.36,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.381,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.401,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.421,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.44,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.46,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.48,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.501,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.521,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.54,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.56,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.58,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.601,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.621,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.641,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.66,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.681,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.7,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.72,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.74,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.76,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.781,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.801,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.821,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.84,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.86,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.88,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.901,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.92,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.94,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.96,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
0.981,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
1.0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
1.02,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
1.041,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
1.06,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
1.08,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
1.101,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
1.12,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
1.141,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
1.16,0.0,0.0003,0.0,,0,0.0,0,0.0,0,0.0,0,0.0
1.18,0.0,-0.0012,0.0,,0,0.1357421875,0,-0.207275390625,0,0.1357421875,0,0.2008056640625
1.2,0.0,-0.0004,0.0,,0,0.155517578125,0,-0.2203369140625,0,0.191650390625,0,0.1268310546875
1.22,0.0,-0.0008,0.0,1,0,-0.102783203125,0,-0.1787109375,0,0.178466796875,0,-0.2744140625
1.24,0.0,-0.0006,0.0,1,0,0.12841796875,0,-0.03204345703125,0,0.1329345703125,0,0.150146484375
1.26,0.0,-0.0004,0.0,1,0,0.2489013671875,0,-0.37060546875,0,-0.09661865234375,0,-0.1600341796875
1.28,0.0,-0.0013,0.0,1,0,-0.0347900390625,0,-0.291748046875,0,-0.09661865234375,0,-0.12322998046875
1.3,0.0,-0.0011,0.0,1,0,0.01611328125,0,0.2073974609375,0,0.163818359375,0,-0.021453857421875
1.32,0.0,-0.001,0.0,1,0,-0.04998779296875,0,-0.385986328125,0,-0.08538818359375,0,-0.1319580078125
1.34,0.0,-0.0007,0.0,1,0,0.09326171875,0,-0.43115234375,0,-0.08538818359375,0,0.162841796875
1.36,0.0,-0.001,0.0,1,0,0.06256103515625,0,-0.190673828125,0,-0.07257080078125,0,0.149169921875
1.414,0.0,-0.001,0.0,1,0,0.06256103515625,0,-0.190673828125,0,-0.09429931640625,0,0.149169921875
1.42,0.0,1e-04,0.0,1,0,0.2276611328125,0,0.03582763671875,0,0.183349609375,0,0.15625
1.44,0.0,-0.0012,0.0,1,0,0.2276611328125,0,0.03582763671875,0,0.1312255859375,0,0.15625
1.46,0.0,0.0003,0.0,1,0,0.10650634765625,0,-0.49560546875,0,-0.0927734375,0,0.180908203125
1.48,0.0,-0.0003,0.0,1,0,0.1400146484375,0,0.1375732421875,0,0.06591796875,0,-0.191650390625
1.5,0.0,-0.0002,0.0,1,0,-0.06158447265625,0,0.2078857421875,0,0.080322265625,0,0.177490234375
1.523,0.0,-0.0007,0.0,1,0,-0.06158447265625,0,0.10137939453125,0,0.139892578125,0,-0.1651611328125
1.54,0.0,-0.0003,0.0,1,0,-0.06964111328125,0,0.10205078125,0,0.1226806640625,0,-0.282470703125
1.561,0.0,-0.0007,0.0,1,0,-0.1888427734375,0,-0.299072265625,0,0.0687255859375,0,0.042449951171875
1.58,0.0,-0.0002,0.0,1,0,-0.11297607421875,0,0.40576171875,0,0.06964111328125,0,-0.061431884765625
1.6,0.0,0.0,0.0,1,0,-0.09906005859375,0,0.26904296875,0,-0.07537841796875,0,0.202880859375
1.62,0.0,-0.0003,0.0,1,0,0.06707763671875,0,0.1856689453125,0,0.09124755859375,0,0.04339599609375
1.641,0.0,0.0005,0.0,1,0,-0.09686279296875,0,0.4267578125,0,0.06158447265625,0,-0.06793212890625
1.66,0.0,-0.0004,0.0,1,0,0.211181640625,0,0.5166015625,0,0.11700439453125,0,-0.2291259765625
1.68,0.0,-0.0012,0.0,1,0,-0.06256103515625,0,0.27978515625,0,0.133544921875,0,0.0276336669921875
1.701,0.0,-1e-04,0.0,1,0,-0.09521484375,0,0.27978515625,0,0.1219482421875,0,-0.2344970703125
1.725,0.0,-0.0008,0.0,1,0,-0.08538818359375,0,0.447021484375,0,0.1466064453125,0,-0.035675048828125
1.741,0.0,-1e-04,0.0,1,0,-0.1585693359375,0,0.051300048828125,0,0.0784912109375,0,0.19775390625
1.761,0.0,-0.0004,0.0,1,0,-0.1236572265625,0,0.2198486328125,0,0.1234130859375,0,0.1357421875
1.78,0.0,1e-04,0.0,1,0,-0.044891357421875,0,0.2198486328125,0,0.1265869140625,0,-0.318359375
1.8,0.0,-0.0005,0.0,1,0,0.101318359375,0,0.35302734375,0,0.1453857421875,0,-0.2357177734375
1.82,0.0,0.0002,0.0,1,0,0.036376953125,0,0.32958984375,0,0.08367919921875,0,-0.2357177734375
1.841,0.0,0.0,0.0,1,0,0.2242431640625,0,0.25537109375,0,0.1539306640625,0,-0.1544189453125
1.861,0.0,-1e-04,0.0,1,0,0.11163330078125,0,0.52978515625,0,0.11456298828125,0,-0.290283203125
1.88,0.0,0.0006,0.0,1,0,-0.16259765625,0,0.427490234375,0,0.154541015625,0,-0.290283203125
1.9,0.0,-0.0011,0.0,1,0,-0.11688232421875,0,0.2340087890625,0,0.08087158203125,0,-0.2227783203125
1.92,0.0,-0.0011,0.0,1,0,0.0966796875,0,0.251708984375,0,-0.08868408203125,0,-0.205322265625
1.941,0.0,-0.0,0.0,1,0,-0.0899658203125,0,0.3935546875,0,-0.0731201171875,0,-0.1834716796875
1.96,0.0,0.0002,0.0,1,0,-0.07586669921875,0,0.4833984375,0,0.08551025390625,0,0.036102294921875
1.98,0.0,-0.0007,0.0,1,0,0.023406982421875,0,0.414794921875,0,0.09375,0,-0.2303466796875
2.0,0.0,0.0003,0.0,1,0,-0.10150146484375,0,-0.1820068359375,0,-0.08343505859375,0,0.1881103515625
2.02,0.0,-0.0003,0.0,1,0,0.15380859375,0,0.28173828125,0,-0.09796142578125,0,0.0849609375
2.04,0.0,-0.0003,0.0,1,0,0.16650390625,0,-0.04443359375,0,-0.07708740234375,0,-0.0270233154296875
2.06,0.0,-1e-04,0.0,1,0,-0.187744140625,0,-0.517578125,0,-0.07708740234375,0,0.057525634765625
2.083,0.0,-0.0003,0.0,1,0,-0.1690673828125,0,0.166748046875,0,-0.07025146484375,0,0.13623046875
2.101,0.0,0.0,0.0,1,0,0.08831787109375,0,-0.05426025390625,0,-0.07647705078125,0,-0.1590576171875
2.12,0.0,-0.0003,0.0,1,0,-0.066650390625,0,-0.03155517578125,0,-0.07647705078125,0,-0.1707763671875
2.141,0.0,0.0006,0.0,1,0,-0.083984375,0,0.060638427734375,0,-0.0946044921875,0,-0.0452880859375
2.16,0.0,0.0006,0.0,1,0,0.1180419921875,0,0.126953125,0,0.08709716796875,0,-0.0684814453125
2.18,0.0,-0.0007,0.0,1,0,0.167236328125,0,0.13525390625,0,0.0894775390625,0,0.1285400390625
2.202,0.0,-0.0014,0.0,1,0,0.08306884765625,0,0.10791015625,0,0.057037353515625,0,0.03472900390625
2.22,0.0,-0.0005,0.0,1,0,0.1868896484375,0,0.427490234375,0,0.173583984375,0,-0.275146484375
2.241,0.0,-0.0005,0.0,1,0,0.1201171875,0,0.163330078125,0,-0.08758544921875,0,0.1439208984375
2.26,0.0,-0.0007,0.0,1,0,0.296875,0,0.306396484375,0,0.104248046875,0,0.119140625
2.28,0.0,-0.0006,0.0,1,0,0.11566162109375,0,0.2205810546875,0,0.0948486328125,0,-0.2373046875
